id,Horizontal direction,Neu_class,Neuropil,Projection mode,anatomy group ID,cell cluster ID,compartment,compartment ID,connectivity type,glomerulus ID,glomerulus ID1,instance,layer ID,status,subtype,type,type ID,unkown,unkown ID,unkown type,unkownID
850708902,,Multiglomerular _  Projection neuron,Antennal lobe neuropil neurons,,,,,,,,,M_lPNm11C,,M_lPNm11C,,,,,,,
455819680,,Superior Intermediate protocerebrum,Superior intermediate protocerebrum neuropil neurons,,,,,,,,,SIP075,,SIP075,,,075,,,,
296851261,,Fan-shaped Body,Central complex neuropil neurons,,,,,,,,,FB8G,8,FB8G,,,G,,,,
420956213,,Lateral Horn Anterior Dorsal cell clusters,Lateral horn neuropil neurons,,f,1,,,,,,LHAD1f1,,LHAD1f1,,,1,,,,
5813057973,,Superior Medial protocerebrum,Superior medial protocerebrum neuropil neurons,,,,,,,,,SMP388,,SMP388,,,388,,,,
5813063216,,Superior Lateral protocerebrum,Superior lateral protocerebrum neuropil neurons,,,,,,,,,SLP427,,SLP427,,,427,,,,
1566519250,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC11,,LC11,,,11,,,,
726663601,,fan-shaped body vertical Delta within a single column,Central complex neuropil neurons,,,,,,a,,,vDeltaA_a,,vDeltaA,,,A,,,,
5813016954,,Fan-shaped body - Crepine,Central complex neuropil neurons,,,,,,,,,FC1C,,FC1C,,1,,C,,,
910878587,,Protocerebral bridge - Fan-shaped body - Noduli,Central complex neuropil neurons,,,,p,p,a,,,PFNp_a,,PFNp,,,,,,,
1172796014,,MB-associated DAN Protocerebral Anterior Medial cluster,Mushroom body neuropil neurons,,,,,,a,,,PAM08_a,,PAM08,,,08,,,,
508935964,,Kenyon Cell gamma lobe,Mushroom body neuropil neurons,,,,,,,,,KCg-m,m,KCg-m,,,,,,,
730475736,,,,,,,,,,,,None,,None,,,,,,,
1201624330,,anterior optic Tubercle - Bulb,Anterior optic tubercle neuropil neurons,,,,,,,,,TuBu08,,TuBu08,,,08,,,,B
5813013735,,,,,,,,,,,,None,,None,,,,,,,
1723015266,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC18,,LC18,,,18,,,,
1534363304,,Lobula Plate - Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LPLC2,,LPLC2,,,2,,,,
1226287821,,Fan-shaped body - Crepine,Central complex neuropil neurons,,,,,,,,,FC1C,,FC1C,,1,,C,,,
1503896377,,Protocerebral bridge - Fan-shaped body - Noduli,Central complex neuropil neurons,,,,p,p,b,,,PFNp_b,,PFNp,,,,,,,
485628489,,,,,,,,,,,,None,,None,,,,,,,
1839314480,,Lobula Plate Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LPC1,,LPC1,,,1,,,,
891936249,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC10,,LC10,,,10,,,,
1543410489,,Lateral Accessory lobe,Lateral accessory lobe neuropil neurons,,,,,,,,,LAL126,,LAL126,,,126,,,,
388975834,,Superior Medial protocerebrum,Superior medial protocerebrum neuropil neurons,,,,,,,,,SMP462,,SMP462,,,462,,,,
1843714565,,,,,,,,,,,,None,,None,,,,,,,
5813054736,,Posterior Slope,Posterior slope neuropil neurons,,,,,,,,,PS262,,PS262,,,262,,,,
1807342446,,SADdle,Saddle neuropil and antennal mechanosensory and motor center neurons,,,,,,,,,SAD087,,SAD087,,,087,,,,
571346836,,Descending Neuron cell body in the gnathal Ganglion,Descending neurons,,,,,,,,,DNg30,,DNg30,,,30,,,,
5812997938,,Lobula - Lobula Plate Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LLPC2b,,LLPC2b,,,2,,,,
607635892,,,,,,,,,,,,None,,None,,,,,,,
1319583458,,Posterior VentroLateral protocerebrum,Posterior ventrolateral protocerebrum neuropil neurons,,,,,,b,,,PVLP133_b,,PVLP133,,,133,,,,
1142019868,,Kenyon Cell gamma lobe,Mushroom body neuropil neurons,,,,,,,,,KCg-m,m,KCg-m,,,,,,,
574364525,,Lateral Horn Posterior Dorsal cell cluster,Lateral horn neuropil neurons,,a,3,,,b,,,LHPD3a2_b,,LHPD3a2,,,2,,,,
878742820,,fan-shaped body vertical Delta within a single column,Central complex neuropil neurons,,,,,,,,,vDeltaL,,vDeltaL,,,L,,,,
1503552296,,CLamp,Clamp neuropil neurons,,,,,,,,,CL215,,CL215,,,215,,,,
5813013545,,Lateral Horn Posterior Ventral cell cluster,Lateral horn neuropil neurons,,c,2,,,,,,LHPV2c5,,LHPV2c5,,,5,,,,
1407398468,,Inferior bridge,Inferior bridge neuropil neurons,,,,,,,,,IB087,,IB087,,,087,,,,
5813022629,,Posterior Slope,Posterior slope neuropil neurons,,,,,,,,,PS013,,PS013,,,013,,,,
1131340051,,,,,,,,,,,,None,,None,,,,,,,
1319530284,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC9,,LC9,,,9,,,,
5813022042,,Kenyon Cell alpha-beta lobe,Mushroom body neuropil neurons,,,,,,,,,KCab-c,c,KCab-c,,,,,,,
5813061071,,,,,,,,,,,,None,,None,,,,,,,
955024652,,Anterior Optic TUbercle,Anterior optic tubercle neuropil neurons,,,,,,,,,AOTU059,,AOTU059,,,059,,,,
1169147605,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC10,,LC10,,,10,,,,
455133591,,Superior Medial protocerebrum,Superior medial protocerebrum neuropil neurons,,,,,,,,,SMP132,,SMP132,,,132,,,,
5813011395,,Lateral Horn Posterior Ventral cell cluster,Lateral horn neuropil neurons,,i,6,,,b,,,LHPV6i1_b,,LHPV6i1,,,1,,,,
1313590343,,Posterior Lateral protocerebrum,Posterior lateral protocerebrum neurons,,,,,,,,,PLP196,,PLP196,,,196,,,,
1847806275,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC17,,LC17,,,17,,,,
389527383,,Superior Lateral protocerebrum,Superior lateral protocerebrum neuropil neurons,,,,,,,,,SLP348,,SLP348,,,348,,,,
548963433,,,,,,,,,,,,None,,None,,,,,,,
5813058085,,Antler,Antler neuropil neurons,,,,,,,,,ATL023,,ATL023,,,023,,,,
5813126319,,,,,,,,,,,,None,,None,,,,,,,
1283695650,,Lobula intrinsic,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,Li15,,Li15,,,15,,,,
1282305753,,Protocerebral bridge - Fan-shaped body - Noduli,Central complex neuropil neurons,,,,p,p,b,,,PFNp_b,,PFNp,,,,,,,
1386512867,,Mushroom Body Output neurons,Mushroom body neuropil neurons,,,,,,,,,MBON05,,MBON05,,,05,,,,
511616870,,Lateral Horn Posterior Dorsal cell cluster,Lateral horn neuropil neurons,,a,3,,,b,,,LHPD3a3_b,,LHPD3a3,,,3,,,,
978630099,,,,,,,,,,,,None,,None,,,,,,,
1068912795,,Lateral Horn Posterior Ventral cell cluster,Lateral horn neuropil neurons,,b,3,,,b,,,LHPV3b1_b,,LHPV3b1,,,1,,,,
2024465881,,,,,,,,,,,,None,,None,,,,,,,
1045427708,,VESt,Vest neuropil neurons,,,,,,,,,VES022,,VES022,,,022,,,,
1044339802,,Anterior VentroLateral protocerebrum,Antler neuropil neurons,,,,,,b,,,AVLP069_b,,AVLP069,,,069,,,,
5812987381,,Lobula - Lobula Plate Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LLPC2a,,LLPC2a,,,2,,,,
1685594997,,Posterior Slope,Posterior slope neuropil neurons,,,,,,,,,PS289,,PS289,,,289,,,,
2280953178,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC24,,LC24,,,24,,,,
2027912072,,,,,,,,,,,,None,,None,,,,,,,
1003215282,,CLamp,Clamp neuropil neurons,,,,,,,,,CL229,,CL229,,,229,,,,
1570685283,,Projection Neuron,Antennal lobe neuropil neurons,DM3_v,,,,,,,,DM3_vPN,,DM3_vPN,,,,,,,
1451544136,,Anterior VentroLateral protocerebrum,Antler neuropil neurons,,,,,,,,,AVLP425,,AVLP425,,,425,,,,
1141678637,,Kenyon Cell gamma lobe,Mushroom body neuropil neurons,,,,,,,,,KCg-m,m,KCg-m,,,,,,,
5813049834,,Kenyon Cell alpha’-beta’ lobe,Mushroom body neuropil neurons,,,,,,,,,KCa'b'-ap1,ap1,KCa'b'-ap1,,,,,,,
266191407,,Superior Medial protocerebrum,Superior medial protocerebrum neuropil neurons,,,,,,,,,SMP481,,SMP481,,,481,,,,
634962055,,Ellipsoid body - Protocerebral bridge - Gall,Central complex neuropil neurons,,,,,,,,,EPG,,EPG,,,,,,,
884140963,,CLamp,Clamp neuropil neurons,,,,,,e,,,CL086_e,,CL086,,,086,,,,
1685776284,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC12,,LC12,,,12,,,,
1654831942,,Lobula Plate Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LPC2,,LPC2,,,2,,,,
1228821333,,Medulla Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,MC61,,MC61,,,61,,,,
1141346462,,Kenyon Cell gamma lobe,Mushroom body neuropil neurons,,,,,,,,,KCg-m,m,KCg-m,,,,,,,
706508078,,Superior Medial protocerebrum,Superior medial protocerebrum neuropil neurons,,,,,,,,,SMP112,,SMP112,,,112,,,,
327877252,,Superior Lateral protocerebrum,Superior lateral protocerebrum neuropil neurons,,,,,,,,,SLP268,,SLP268,,,268,,,,
548571023,,Fan-shaped Body,Central complex neuropil neurons,,,,,,,,,FB5B,5,FB5B,,,B,,,,
1100797044,,fan-shaped body horizontal Delta across columns,Central complex neuropil neurons,,,,,,,,,hDeltaB,,hDeltaB,,B,,,,,
1629163100,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC17,,LC17,,,17,,,,
1535082316,,Posterior VentroLateral protocerebrum,Posterior ventrolateral protocerebrum neuropil neurons,,,,,,,,,PVLP135,,PVLP135,,,135,,,,
1536486355,,Posterior VentroLateral protocerebrum,Posterior ventrolateral protocerebrum neuropil neurons,,,,,,,,,PVLP050,,PVLP050,,,050,,,,
1256490087,,,,,,,,,,,,None,,None,,,,,,,
423684795,,Lateral Horn Anterior Ventral cell clusters,Lateral horn neuropil neurons,,f,2,,,a,,,LHAV2f1_a,,LHAV2f1,,,1,,,,
5813070171,,Anterior VentroLateral protocerebrum,Antler neuropil neurons,,,,,,,,,AVLP248,,AVLP248,,,248,,,,
790918176,,Lateral Horn Posterior Ventral cell cluster,Lateral horn neuropil neurons,,a,4,,,,,,LHPV4a2,,LHPV4a2,,,2,,,,
1078788519,,Medulla Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,MC61,,MC61,,,61,,,,
822358700,,Lateral Horn Posterior Dorsal cell cluster,Lateral horn neuropil neurons,,c,2,,,,,,LHPD2c4,,LHPD2c4,,,4,,,,
453030534,,Superior Lateral protocerebrum,Superior lateral protocerebrum neuropil neurons,,,,,,,,,SLP195,,SLP195,,,195,,,,
451650057,,Superior Lateral protocerebrum,Superior lateral protocerebrum neuropil neurons,,,,,,,,,SLP140,,SLP140,,,140,,,,
613179816,,Superior Medial protocerebrum,Superior medial protocerebrum neuropil neurons,,,,,,,,,SMP058,,SMP058,,,058,,,,
1316846140,,Posterior Lateral protocerebrum,Posterior lateral protocerebrum neurons,,,,,,,,,PLP073,,PLP073,,,073,,,,
1979177169,,Anterior VentroLateral protocerebrum,Antler neuropil neurons,,,,,,,,,AVLP549,,AVLP549,,,549,,,,
637121971,,Lateral Horn Anterior Ventral cell clusters,Lateral horn neuropil neurons,,a,4,,,,,,LHAV4a2,,LHAV4a2,,,2,,,,
2094811506,,SADdle,Saddle neuropil and antennal mechanosensory and motor center neurons,,,,,,,,,SAD025,,SAD025,,,025,,,,
1385291703,,fan-shaped body vertical Delta within a single column,Central complex neuropil neurons,,,,,,b,,,vDeltaA_b,,vDeltaA,,,A,,,,
1609883245,,Projection Neuron,Antennal lobe neuropil neurons,DL3_l,,,,,,,,DL3_lPN,,DL3_lPN,,,,,,,
1656494569,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC12,,LC12,,,12,,,,
917311067,,Superior medial protocerebrum - Asymmetrical body - Fan-shaped body,Central complex neuropil neurons,,,,,,,,,SAF,,SAF,,,,,,,
1077122311,,Anterior Optic TUbercle,Anterior optic tubercle neuropil neurons,,,,,,,,,AOTU058,,AOTU058,,,058,,,,
851027931,,Lateral Horn Posterior Ventral cell cluster,Lateral horn neuropil neurons,,b,5,,,,,,LHPV5b3,,LHPV5b3,,,3,,,,
511349908,,Superior Medial protocerebrum,Superior medial protocerebrum neuropil neurons,,,,,,,,,SMP183,,SMP183,,,183,,,,
737093754,,Posterior VentroLateral protocerebrum,Posterior ventrolateral protocerebrum neuropil neurons,,,,,,,,,PVLP007,,PVLP007,,,007,,,,
1722310842,,,,,,,,,,,,None,,None,,,,,,,
326530038,,Superior Medial protocerebrum,Superior medial protocerebrum neuropil neurons,,,,,,,,,SMP505,,SMP505,,,505,,,,
5813063227,,,,,,,,,,,,None,,None,,,,,,,
1322129437,,Ellipsoid body Ring neuron,Central complex neuropil neurons,,,,,,a,,,ER1_a,,ER1,,1,1,,,,
1657180509,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC18,,LC18,,,18,,,,
329102850,,Fan-shaped Body,Central complex neuropil neurons,,,,,,a,,,FB8F_a,8,FB8F,,,F,,,,
1448587060,,Lateral Accessory lobe,Lateral accessory lobe neuropil neurons,,,,,,,,,LAL050,,LAL050,,,050,,,,
1437363181,,Posterior Slope,Posterior slope neuropil neurons,,,,,,,,,PS091,,PS091,,,091,,,,
672092798,,,,,,,,,,,,None,,None,,,,,,,
821957319,,Lateral Horn Posterior Ventral cell cluster,Lateral horn neuropil neurons,,a,4,,,b,,,LHPV4a9_b,,LHPV4a9,,,9,,,,
5813057738,,Fan-shaped Body,Central complex neuropil neurons,,,,,,,,,FB5X,5,FB5X,,,X,,,,
1539309050,,WEDge Projection neuron,Wedge neuropil neurons,,,,,,,,,WEDPN8A,,WEDPN8A,,,8,,,A,
1441949046,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC14,,LC14,,,14,,,,
295119694,,Superior Lateral protocerebrum,Superior lateral protocerebrum neuropil neurons,,,,,,,,,SLP301,,SLP301,,,301,,,,
955024729,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC10,,LC10,,,10,,,,
480315387,,Superior Lateral protocerebrum,Superior lateral protocerebrum neuropil neurons,,,,,,,,,SLP462,,SLP462,,,462,,,,
5813057033,,Antler,Antler neuropil neurons,,,,,,,,,ATL037,,ATL037,,,037,,,,
423174813,,,,,,,,,,,,None,,None,,,,,,,
1014051490,,Anterior VentroLateral protocerebrum,Antler neuropil neurons,,,,,,,,,AVLP010,,AVLP010,,,010,,,,
5812994863,,Lobula - Lobula Plate Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LLPC2b,,LLPC2b,,,2,,,,
5813013091,,Anterior VentroLateral protocerebrum,Antler neuropil neurons,,,,,,,,,AVLP472,,AVLP472,,,472,,,,
1039392337,,Fan-shaped body - Crepine,Central complex neuropil neurons,,,,,,,,,FC2B,,FC2B,,2,,B,,,
1967866061,,,,,,,,,,,,None,,None,,,,,,,
693159855,,Kenyon Cell alpha-beta lobe,Mushroom body neuropil neurons,,,,,,,,,KCab-s,s,KCab-s,,,,,,,
1410127581,,Protocerebral bridge - Fan-shaped body - Noduli,Central complex neuropil neurons,,,,m,m,a,,,PFNm_a,,PFNm,,,,,,,
1535718264,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC14,,LC14,,,14,,,,
390579059,,Superior Lateral protocerebrum,Superior lateral protocerebrum neuropil neurons,,,,,,,,,SLP112,,SLP112,,,112,,,,
731357364,,Superior Intermediate protocerebrum,Superior intermediate protocerebrum neuropil neurons,,,,,,,,,SIP002,,SIP002,,,002,,,,
1932730059,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC14,,LC14,,,14,,,,
449910741,,Lateral Horn Posterior Ventral cell cluster,Lateral horn neuropil neurons,,h,6,,,,,,LHPV6h3,,LHPV6h3,,,3,,,,
5901206553,,Local neuron,Antennal lobe neuropil neurons,,,il3,,,,,,il3LN6,,il3LN6,,,6,,,,
449568880,,Lateral Horn Posterior Ventral cell cluster,Lateral horn neuropil neurons,,a,6,,,,,,LHPV6a8,,LHPV6a8,,,8,,,,
1722337568,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC18,,LC18,,,18,,,,
5812998538,,Local neuron,Antennal lobe neuropil neurons,,,l,,,,,,lLN15,,lLN15,,,15,,,,
5813022361,,Inferior bridge,Inferior bridge neuropil neurons,,,,,,,,,IB030,,IB030,,,030,,,,
600667501,,Kenyon Cell alpha-beta lobe,Mushroom body neuropil neurons,,,,,,,,,KCab-s,s,KCab-s,,,,,,,
1007550653,,Anterior VentroLateral protocerebrum,Antler neuropil neurons,,,,,,,,,AVLP584,,AVLP584,,,584,,,,
827889523,,CREpine,Crepine neuropil neurons,,,,,,,,,CRE009,,CRE009,,,009,,,,
784541732,,Kenyon Cell gamma lobe,Mushroom body neuropil neurons,,,,,,,,,KCg-d,d,KCg-d,,,,,,,
5812997319,,Superior Intermediate protocerebrum,Superior intermediate protocerebrum neuropil neurons,,,,,,,,,SIP020,,SIP020,,,020,,,,
919846263,,Superior Lateral protocerebrum,Superior lateral protocerebrum neuropil neurons,,,,,,,,,SLP005,,SLP005,,,005,,,,
1604788947,,,,,,,,,,,,None,,None,,,,,,,
1589969344,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC18,,LC18,,,18,,,,
418175238,,Superior Intermediate protocerebrum,Superior intermediate protocerebrum neuropil neurons,,,,,,,,,SIP060,,SIP060,,,060,,,,
1232940086,,Medulla Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,MC61,,MC61,,,61,,,,
5813039465,,Projection Neuron,Antennal lobe neuropil neurons,DL2v_ad,,,,,,,,DL2v_adPN,,DL2v_adPN,,,,,,,
479921537,,Superior Lateral protocerebrum,Superior lateral protocerebrum neuropil neurons,,,,,,,,,SLP342,,SLP342,,,342,,,,
727302430,,CLamp,Clamp neuropil neurons,,,,,,,,,CL204,,CL204,,,204,,,,
670370149,,Superior Medial protocerebrum,Superior medial protocerebrum neuropil neurons,,,,,,,,,SMP267,,SMP267,,,267,,,,
5812988532,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC9,,LC9,,,9,,,,
1231554116,,Medulla Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,MC61,,MC61,,,61,,,,
793815358,,Inferior bridge,Inferior bridge neuropil neurons,,,,,,,,,IB006,,IB006,,,006,,,,
1292794996,,Ellipsoid body Ring neuron,Central complex neuropil neurons,,,,,,,,,ER3m,,ER3m,,3,3,,,,
5813021223,,Superior Lateral protocerebrum,Superior lateral protocerebrum neuropil neurons,,,,,,b,,,SLP129_b,,SLP129,,,129,,,,
5813021251,,Kenyon Cell alpha-beta lobe,Mushroom body neuropil neurons,,,,,,,,,KCab-s,s,KCab-s,,,,,,,
829162792,,CLamp,Clamp neuropil neurons,,,,,,,,,CL022,,CL022,,,022,,,,
1159646273,,,,,,,,,,,,None,,None,,,,,,,
675489914,,Inferior bridge,Inferior bridge neuropil neurons,,,,,,,,,IB004,,IB004,,,004,,,,
854806485,,CLamp,Clamp neuropil neurons,,,,,,,,,CL184,,CL184,,,184,,,,
5812982470,,Kenyon Cell alpha-beta lobe,Mushroom body neuropil neurons,,,,,,,,,KCab-m,m,KCab-m,,,,,,,
1441499284,,Protocerebral bridge - Fan-shaped body - Noduli,Central complex neuropil neurons,,,,p,p,b,,,PFNp_b,,PFNp,,,,,,,
756390536,,Protocerebral bridge - Fan-shaped body - Noduli,Central complex neuropil neurons,,,,p,p,a,,,PFNp_a,,PFNp,,,,,,,
608891515,,Superior Lateral protocerebrum,Superior lateral protocerebrum neuropil neurons,,,,,,,,,SLP286,,SLP286,,,286,,,,
5812980425,,Kenyon Cell alpha-beta lobe,Mushroom body neuropil neurons,,,,,,,,,KCab-s,s,KCab-s,,,,,,,
